,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,relative_velocity.kilometers_per_minute,proportion_of_max_diameter_to_earth
25,0,22.1082810359,49.435619262,1995-01-04,1995-01-04 19:00:00,Earth,19.5043542583,70215.675330042,Near Earth asteroid orbits similar to that of 2062 Aten,3766036,(2016 XR23),1170.2612555007,3.8797378168262445e-06
26,0,21.113244479,47.2106498806,1995-01-04,1995-01-04 00:17:00,Earth,5.4829884789,19738.7585239395,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3843734,(2019 RA),328.979308732325,3.7051208507769583e-06
27,0,63.7609789875,142.5738833281,1995-01-01,1995-01-01 14:03:00,Earth,16.5213860889,59476.989919936,An asteroid orbit contained entirely within the orbit of the Eart,3792437,(2017 XR61),991.2831653322668,1.1189286087592216e-05
28,0,146.0679642714,326.6178974458,1995-01-01,1995-01-01 03:25:00,Earth,18.1139850263,65210.3460948409,An asteroid orbit contained entirely within the orbit of the Eart,3723955,(2015 NK3),1086.8391015806817,2.563317355562706e-05
29,1,116.0259082094,259.4418179074,1995-01-02,1995-01-02 15:12:00,Earth,14.9782587738,53921.7315857621,Near Earth asteroid orbits similar to that of 1221 Amor,3553279,(2010 XB24),898.6955264293683,2.0361153500816194e-05
30,0,14.6067964271,32.6617897446,1995-01-02,1995-01-02 03:28:00,Earth,6.4021620104,23047.7832375179,Near Earth asteroid orbits similar to that of 1221 Amor,3825428,(2018 MA5),384.1297206252983,2.563317355564276e-06
31,0,44.1118199997,98.6370281305,1995-01-02,1995-01-02 19:37:00,Earth,11.5802363188,41688.8507475223,An asteroid orbit contained entirely within the orbit of the Eart,3639467,(2013 LC1),694.8141791253717,7.741094657863757e-06
32,0,5.8150703965,13.0028927004,1995-01-02,1995-01-02 13:00:00,Earth,15.1128684067,54406.326264187,Near Earth asteroid orbits similar to that of 2062 Aten,3703059,(2014 YE15),906.7721044031168,1.0204750196515461e-06
33,0,1.332155667,2.978790628,1995-01-02,1995-01-02 22:41:00,Earth,2.9755350607,10711.9262185554,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3943319,(2019 YS),178.53210364259,2.3377732129963898e-07
34,0,11.2345317672,25.1211767268,1995-01-02,1995-01-02 03:54:00,Earth,7.1500141326,25740.0508773213,Near Earth asteroid orbits similar to that of 1221 Amor,54016806,(2020 HT7),429.000847955355,1.971525406278449e-06
35,0,8.0270316728,17.948988478,1995-01-09,1995-01-09 04:53:00,Earth,7.6152812259,27415.0124133414,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3842683,(2019 LO),456.91687355569,1.4086476595510908e-06
36,0,22.1082810359,49.435619262,1995-01-09,1995-01-09 12:02:00,Earth,23.3997220939,84238.9995379446,An asteroid orbit contained entirely within the orbit of the Eart,3366282,(2007 BD),1403.98332563241,3.8797378168262445e-06
