,has_online_delivery,currency,name,cuisines,location.address,location.city,user_rating.rating_text
789,1,AED,Via Delhi,"Indian, North Indian, Chinese","Near First Flight Couriers, Behind ADNOC Head Office, Salam Street, Najda Area, Najda, Abu Dhabi",Abu Dhabi,Very Good
790,0,AED,Olive Garden,"Italian, Pizza","Level 3, Al Wahda Mall Extension, Al Wahda, Abu Dhabi",Abu Dhabi,Very Good
791,1,AED,Indian By Nature,Indian,"Shop 2-3, Tolico Building, Behind Lebanese Roastery, Near National Hospital, Najda, Abu Dhabi",Abu Dhabi,Very Good
792,1,AED,Applebee's,"American, Mexican, Seafood","Level 3, Mushrif Mall, Al Mushrif, Abu Dhabi",Abu Dhabi,Very Good
793,1,AED,Pizza Di Rocco,"Italian, Pizza","Near Corner of Salam and Al Falah Street (9th Street), Salam Street, Al Dhafrah, Abu Dhabi",Abu Dhabi,Very Good
794,0,AED,P.F. Chang's,Chinese,"Level 1, World Trade Center Mall, Central Market, Al Markaziya, Abu Dhabi",Abu Dhabi,Very Good
795,1,AED,Tikka Tonight,"Pakistani, Afghani, Indian, Hyderabadi","Behind RAK Bank, Sanaiya ME11, Mussafah Sanaiya, Abu Dhabi",Abu Dhabi,Very Good
796,1,AED,Sangeetha Vegetarian Restaurant,"Indian, South Indian","Opposite Cristal Hotel, Behind KM Trading, Electra Street, Madinat Zayed, Abu Dhabi",Abu Dhabi,Good
797,1,AED,Gazebo,"Indian, North Indian, Mughlai, Biryani","Ground Level, Next to E-Max, Dalma Mall, Mussafah Sanaiya, Abu Dhabi",Abu Dhabi,Very Good
798,1,AED,Hot Palayok,"Filipino, Japanese, Asian","Food Court, Level 2, Madinat Zayed Shopping Centre, Madinat Zayed, Abu Dhabi",Abu Dhabi,Excellent
799,0,AED,Salt,"Fast Food, Burger","Inside Mushrif Park, Al Mushrif, Abu Dhabi",Abu Dhabi,Very Good
800,0,AED,Sofra Istanbul,"Turkish, Arabian, Middle Eastern","Next to ADNOC Petrol Station, Muroor Road, Al Dhafrah, Abu Dhabi",Abu Dhabi,Very Good
801,0,LKR,The Sizzle,"American, Fast Food, Steak, Beverages","32, Walukarama Road, Kollupitiya, Colombo 03",Colombo,Very Good
802,0,LKR,Cricket Club Cafe,"Continental, American, Seafood","12 Flower Road, Kollupitiya, Colombo 03",Colombo,Very Good
803,0,LKR,The Commons,"Cafe, Sri Lankan, Continental, American","39 A, Flower Road, Cinnamon Gardens, Colombo 07",Colombo,Very Good
804,0,LKR,Cafe Beverly,"Continental, American","475/C, Sri Jayawardenapura Mawatha, Welikada, Rajagiriya, Colombo",Colombo,Very Good
805,0,LKR,Carnival Ice Cream,"Desserts, Ice Cream","263, Galle Road, Near NSB ATM, Kollupitiya, Colombo 03",Colombo,Very Good
806,0,LKR,Ministry of Crab,Seafood,"Old Colombo Dutch Hospital, Fort, Colombo 01",Colombo,Excellent
807,0,LKR,Upali's,Sri Lankan,"65, C.W.W Kannangara Mawatha, Near Town Hall, Cinnamon Gardens, Colombo 07",Colombo,Very Good
808,0,LKR,Burger's King,Fast Food,"1, Vellons Passage, Slave Island, Colombo 02",Colombo,Very Good
809,0,LKR,CIOCONAT Lounge,"Italian, Cafe, Desserts","107, Barnes Place, Cinnamon Gardens, Colombo 07",Colombo,Good
810,0,LKR,Elite Indian Restaurant,"North Indian, Chinese, Sri Lankan","124, New Bullers Road, Bambalapitiya, Colombo 04",Colombo,Poor
811,0,LKR,Butter Boutique,"Desserts, Bakery","34, 27th Lane, Kollupitiya, Colombo 03",Colombo,Very Good
812,0,LKR,The Paddington,"Cafe, Italian","36, Barnes Place, Cinnamon Gardens, Colombo 07",Colombo,Good
813,0,LKR,Malay Restaurant,"Malaysian, North Indian, Sri Lankan","115, Hill Street, Dehiwala, Colombo",Colombo,Good
814,0,LKR,Cafe Shaze,"Cafe, Fast Food, Beverages","65, Thimbirigasaya Road, Havelock Town, Colombo 05",Colombo,Good
815,0,LKR,Simply Strawberries By Jagro,"Juices, Desserts","131, Vijaya Kumaratunge Mawathu, Havelock Town, Colombo 05",Colombo,Excellent
816,0,LKR,Arabian Knights,"Middle Eastern, Arabian","377, Opposite Amana Bank, Galle Road, Kollupitiya, Colombo 03",Colombo,Very Good
817,0,LKR,Queen's Cafe,"American, Chinese, North Indian","417, Duplication Road, Kollupitiya, Colombo 03",Colombo,Average
818,0,LKR,The Manhattan Fish Market,"Seafood, Italian","31, Deal Place, Off R.A. De Mel Mawatha, Kollupitiya, Colombo 03",Colombo,Very Good
819,0,LKR,T.G.I. Friday's,"American, Steak","23, Canal Row, Fort, Colombo 01",Colombo,Very Good
820,0,LKR,Chinese Dragon Cafe,Chinese,"11, Milagiriya Avenue, Bambalapitiya, Colombo 04",Colombo,Average
821,0,TL,Bayramoğlu Döner,Döner,"Rüzgarlıbahçe Mahallesi, G-69 Sokak, No 2, Beykoz, İstanbul",İstanbul,Excellent
822,0,TL,Draft Gastro Pub,Bar Food,"Caddebostan Mahallesi, Bağdat Caddesi, No 349, Kat 1, Kadıköy, İstanbul",İstanbul,Excellent
823,0,TL,Valonia,"Restaurant Cafe, Desserts","Türkali Mahallesi, Ihlamurdere Caddesi, No 40/B, Beşiktaş, İstanbul",İstanbul,Very Good
824,0,TL,J'adore Chocolatier,Desserts,"Asmalımescit Mahallesi, İstiklal Caddesi, Emir Nevruz Sokak, No 2/H, Beyoğlu, İstanbul",İstanbul,Excellent
825,0,TL,Karaköy Güllüoğlu,"Desserts, Börek","Kemankeş Karamustafa Paşa Mahallesi, Rıhtım Caddesi, Katlı Otopark Altı, No 4, Beyoğlu, İstanbul",İstanbul,Excellent
826,0,TL,Ceviz Ağacı,"World Cuisine, Patisserie, Cafe","Koşuyolu Mahallesi, Muhittin Üstündağ Caddesi, No 85, Kadıköy, İstanbul",İstanbul,Very Good
827,0,TL,Dem Karaköy,Cafe,"Kemankeş Karamustafa Paşa Mahallesi, Hoca Tahsin Sokak, No 17, Beyoğlu, İstanbul",İstanbul,Excellent
828,0,TL,Huqqa,"Italian, World Cuisine","Kuruçeşme Mahallesi, Muallim Naci Caddesi, No 56, Beşiktaş, İstanbul",İstanbul,Good
829,0,TL,Baltazar,"Burger, Izgara","Kemankeş Karamustafa Paşa Mahallesi, Kılıç Ali Paşa Mescidi Sokak, No 12/A, Beyoğlu, İstanbul",İstanbul,Very Good
830,0,TL,Leman Kültür,Restaurant Cafe,"Caferağa Mahallesi, Neşet Ömer Sokak, No 9/A, Kadıköy, İstanbul",İstanbul,Good
831,0,TL,Virginia Angus,"Steak, Burger","Halaskargazi Mahallesi, Valikonağı Caddesi, Kuyumcu İrfan Sokak, No 8, Şişli, İstanbul",İstanbul,Very Good
832,0,TL,Eataly,"Italian, Pizza, Fresh Fish","Zorlu Center AVM, Köprü Katı, Levazım Mahallesi, Barbaros Bulvarı Kavşağı, Koru Sokak, No 2, Beşiktaş, İstanbul",İstanbul,Very Good
833,0,TL,Big Chefs,World Cuisine,"Tarabya Mahallesi, Yeniköy Tarabya Caddesi, No 80, Sarıyer, İstanbul",İstanbul,Very Good
834,0,TL,Filizler Köftecisi,"Izgara, Steak","Salacak Mahallesi, Üsküdar Harem Sahil Yolu, No 61, Üsküdar, İstanbul",İstanbul,Good
835,0,TL,Emirgan Sütiş,"Restaurant Cafe, Turkish, Desserts","Emirgan Mahallesi, Sakıp Sabancı Caddesi, No 46, Sarıyer, İstanbul",İstanbul,Very Good
836,0,TL,Aşşk Kahve,Restaurant Cafe,"Kuruçeşme Mahallesi, Muallim Naci Caddesi, No 64/B, Beşiktaş, İstanbul",İstanbul,Very Good
837,0,TL,MOC İstanbul,Cafe,"Teşvikiye Mahallesi, Şakayık Sokak, No 4, Şişli, İstanbul",İstanbul,Excellent
838,0,TL,Namlı Gurme,Turkish,"Kemankeş Karamustafa Paşa Mahallesi, Rıhtım Caddesi, No 1/1, Katlı Otopark Altı,  Beyoğlu, İstanbul",İstanbul,Very Good
839,0,TL,Starbucks,Cafe,"Bebek Mahallesi, Cevdetpaşa Caddesi, No 30/A, Beşiktaş, İstanbul",İstanbul,Excellent
840,0,TL,Walter's Coffee Roastery,Cafe,"Cafeağa Mahallesi, Bademaltı Sokak, No 21/B, Kadıköy, İstanbul",İstanbul,Very Good
841,0,TL,Çukurağa Sofrası,"Kebab, Izgara","Emek Mahallesi, Bosna Hersek Caddesi, No 22/C, Çankaya, Ankara",Ankara,Very Good
842,0,TL,Meşhur Tavacı Recep Usta,Kebab,"Güzeltepe Mahallesi, Dikmen Vadisi, Hoşdere Girişi, Çankaya, Ankara",Ankara,Excellent
843,0,TL,Masabaşı Kebapçısı,"Kebab, Turkish Pizza","Balgat Mahallesi, Ziyabey Caddesi, No 35, Çankaya, Ankara",Ankara,Very Good
844,0,TL,Hattena Hatay  Sofrası,Kebab,"Balgat Mahallesi, Osmanlı Caddesi, No 41/A, Çankaya, Ankara",Ankara,Excellent
845,0,TL,Düveroğlu,"Kebab, Desserts, Turkish Pizza","Ümitköy Mahallesi, 2432. Cadde (8. Cadde), No 113, Çankaya, Ankara",Ankara,Very Good
846,0,TL,Zigana Pide,Turkish Pizza,"Macun Mahallesi, Erciyes İşyerleri Sitesi, 201. Cadde, No 6, Yenimahalle, Ankara",Ankara,Very Good
847,0,TL,Timboo Cafe,Cafe,"Armada AVM, Kat -1, Eskişehir Yolu, No 6, Yenimahalle, Ankara",Ankara,Very Good
848,0,TL,Pizza İl Forno,Pizza,"Yıldızevler Mahallesi, 720. Sokak, No 2/B, Çankaya, Ankara",Ankara,Excellent
849,0,TL,Nusr-Et,Steak,"Gaziosmanpaşa Mahallesi, Şehit Ömer Haluk Sipahioğlu Sokak, No 8, Çankaya, Ankara",Ankara,Very Good
850,0,TL,Düveroğlu,"Kebab, Desserts, Turkish Pizza","Maltepe Mahallesi, Gençlik Caddesi, No 28, Çankaya, Ankara",Ankara,Very Good
851,0,TL,Turta Home Cafe,"Cafe, Desserts","Mutlukent Mahallesi, 1944. Cadde, 1948. Sokak, No 15, Çankaya, Ankara",Ankara,Very Good
852,0,TL,The Bigos,Cafe,"Mahallesi, Selanik 2 Caddesi, No 61/A, Çankaya, Ankara",Ankara,Good
853,0,TL,Masabaşı,"Kebab, Turkish Pizza","Kocatepe Mahallesi, Mithatpaşa Caddesi, No 62/A, Çankaya, Ankara",Ankara,Very Good
854,0,TL,Cafemiz,"World Cuisine, Mexican, Italian","Gaziosmanpaşa Mahallesi, Arjantin Caddesi, No 19, Çankaya, Ankara",Ankara,Very Good
855,0,TL,Kebap 49,"Kebab, Turkish Pizza","Remzi Oğuz Arık Mahallesi, Tunalı Hilmi Caddesi, Bülten Sokak, No 5, Çankaya, Ankara",Ankara,Very Good
856,0,TL,Liva,"Patisserie, Coffee and Tea","Çukurambar Mahallesi, Muhsin Yazıcıoğlu Caddesi, No 3, Çankaya, Ankara",Ankara,Average
857,0,TL,Yıldız Aspava,"Kebab, Turkish Pizza, Döner","Küçük Esat Mahallesi, Esat Caddesi, No 110/25, Çankaya, Ankara",Ankara,Very Good
858,0,TL,Timboo Cafe,Cafe,"Kentpark AVM, Kat -1, Mustafa Kemal Mahallesi, Eskişehir Yolu 7.km, No 164, Çankaya, Ankara",Ankara,Very Good
859,0,TL,Meşhur Özçelik Aspava,"Kebab, Turkish Pizza","Küçük Esat Mahallesi, Esat Caddesi, No 110/C, Çankaya, Ankara",Ankara,Excellent
860,0,TL,Gaga Manjero,World Cuisine,"Gazi Osman Paşa Mahallesi, Filistin Caddesi, No 21, Çankaya, Ankara",Ankara,Excellent
861,0,£,Dishoom,"Indian, North Indian, Curry, Cafe","12 Upper St Martin's Lane, Covent Garden, London WC2H 9FB",London,Excellent
862,0,£,Duck & Waffle,British,"Heron Tower, 110 Bishopsgate, City of London, London EC2N 4AY",London,Excellent
863,0,£,Bao,"Taiwanese, Street Food","53 Lexington Street, Soho, London W1F 9AS",London,Excellent
864,0,£,Roti Chai,"Indian, Street Food","3 Portman Mews South, Marble Arch, London W1H 6HS",London,Excellent
865,0,£,Yauatcha,"Chinese, Dim Sum","15-17 Broadwick Street, Soho, London W1F 0DL",London,Excellent
866,0,£,The Breakfast Club,"American, Burger","33 D'Arblay Street, Soho, London W1F 8EU",London,Excellent
867,0,£,Flat Iron,Steak,"17 Beak Street, Soho, London W1F 9RW",London,Excellent
868,0,£,sketch Gallery,"British, Contemporary","sketch, 9 Conduit Street, Mayfair, London W1S 2XG",London,Excellent
869,0,£,Restaurant Gordon Ramsay,French,"68 Royal Hospital Road, Chelsea, London SW3 4HP",London,Excellent
870,0,£,Gymkhana,"Indian, Pakistani, Curry","42 Albemarle Street, Mayfair, London W1S 4JH",London,Excellent
871,0,£,Dishoom,"Indian, Cafe, Curry","7 Boundary Street, Shoreditch, London E2 7JE",London,Excellent
872,0,£,Shake Shack,"American, Burger","24 Market Building, The Piazza, Covent Garden, London WC2E 8RD",London,Very Good
873,0,£,Five Guys,"American, Burger","1-3 Long Acre, Covent Garden, London WC2E 9LH",London,Good
874,0,£,Hakkasan,"Chinese, Dim Sum","17 Bruton Street, Mayfair, London W1J 6QB",London,Excellent
875,0,£,Nobu,"Japanese, Sushi","15 Berkeley Street, Mayfair, London W1J 8DY",London,Very Good
876,0,£,Jamie's Italian,Italian,"11 Upper St Martin's Lane, Covent Garden, London WC2H 9FB",London,Very Good
877,0,£,Bone Daddies,"Ramen, Japanese","31 St. Peter Street, Soho, London W1F 0AR",London,Excellent
878,0,£,Roka,"Japanese, Sushi","37 Charlotte Street, Fitzrovia, London W1T 1RR",London,Excellent
879,0,£,Bocca Di Lupo,Italian,"12 Archer Street, Soho, London W1D 7BB",London,Excellent
880,0,£,Masala Zone,"Indian, Curry","48 Floral Street, Covent Garden, London WC2E 9DA",London,Very Good
881,0,QR,Roti & Boti,Indian,"Showroom #10, Al Emadi Suites, Ras Abu Aboud Street, Umm Ghuwailina, Doha",Doha,Good
882,0,QR,7st by Mumbai Spices,"Indian, Street Food","Barwa Commercial Avenue, Near Thursday & Friday Market Building, Near F Ring Road, Main Industrial Area Road, Ain Khalid, Doha",Doha,Average
883,0,QR,The Manhattan FISH MARKET,"Seafood, American","Mezzanine Floor, Ghanem Business Center, Opposite Ahli Bank, Fereej Bin Mahmoud, Doha",Doha,Very Good
884,0,QR,Zaffran Dining Experience,Indian,"Al Emadi Financial Square, C Ring Road, Al Hilal, Doha",Doha,Excellent
885,0,QR,Gymkhana,Indian,"Ground Floor, Al Jomrok Boutique Hotel, Souq Waqif, Doha",Doha,Excellent
886,0,QR,Indian Coffee House,Indian,"Beside Le Mirage Suites, Fereej Abdul Aziz Street, Al Doha Al Jadeeda, Doha",Doha,Average
887,0,QR,Vine - The St. Regis,International,"1st Floor, The St. Regis Hotel, Westbay, Doha",Doha,Very Good
888,0,QR,Mainland China Restaurant,Chinese,"1st Floor, Barwa Towers, Suhaim Bin Hamad Street, Al Sadd, Doha",Doha,Excellent
889,0,QR,Eatopia,"European, Arabian, Japanese, Bakery, Desserts","2nd Floor, The Gate Mall, Dafna, Doha",Doha,Good
890,0,QR,MRA Bakery Sweets & Restaurant,"Kerala, Indian, Chinese, Bakery","Opposite Aster Pharmacy, Al Taei Street, Al Ghanim, Doha",Doha,Very Good
891,0,QR,Zaoq,Pakistani,"Midmac Flyover, Salwa Road, Al Hilal, Doha",Doha,Very Good
892,0,QR,Aalishan,"North Indian, Chinese, Turkish","Opposite Universal Cooling System, Ibn Seena Street, Al Muntazah, Doha",Doha,Good
893,0,QR,Ponderosa,Steak,"Caravan Complex, Ramada Junction, Salwa Road, Al Hilal, Doha",Doha,Good
894,0,QR,Coral - InterContinental Doha,International,"Lower Ground Floor, Hotel Intercontinental Doha, Al Isteqlal Road, Westbay, Doha",Doha,Good
895,0,QR,Sabai Thai - The Westin Doha Hotel & Spa,Thai,"Ground Floor, The Westin Doha Hotel & Spa, Fereej Bin Mahmoud, Doha",Doha,Very Good
896,0,QR,Gokul Gujarati Restaurant,Indian,"Opposite Masjid, Ibn Mahmoud Street, Fereej Bin Mahmoud, Doha",Doha,Very Good
897,0,QR,Punjab Restaurant,Pakistani,"Near Kahramaa Office, Al Adhwaa Street, Musheireb, Doha",Doha,Good
898,0,QR,Paper Moon,Italian,"Beside Jarir Bookstore, Jaidah Square, Al Matar Street, Umm Ghuwailina, Doha",Doha,Excellent
899,0,QR,Texas Roadhouse,"Steak, American","Ground Floor, Mall Of Qatar, Dukhan Highway, Al Gharafa, Doha",Doha,Very Good
900,0,QR,Applebee's,"American, Tex-Mex","Opposite La Cigale Hotel, C Ring Road, Al Nasr, Doha",Doha,Good
901,0,P,Izakaya Kikufuji,Japanese,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",Makati City,Excellent
902,0,P,The Food Hall by Todd English,"American, Asian, Italian, Seafood","Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",Taguig City,Excellent
903,0,P,Ooma,"Japanese, Sushi","Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",Mandaluyong City,Excellent
904,0,P,Spiral - Sofitel Philippine Plaza Manila,"European, Asian, Indian","Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",Pasay City,Excellent
905,0,P,NIU by Vikings,"Seafood, American, Mediterranean, Japanese","Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",Taguig City,Excellent
906,0,P,Din Tai Fung,Chinese,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",Mandaluyong City,Very Good
907,0,P,Heat - Edsa Shangri-La,"Seafood, Asian, Filipino, Indian","Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City",Mandaluyong City,Very Good
908,0,P,Mad Mark's Creamery & Good Eats,"American, Ice Cream, Desserts","23 East Capitol Drive, Kapitolyo, Pasig City",Pasig City,Very Good
909,0,P,Sambo Kojin,"Japanese, Korean","Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",Mandaluyong City,Excellent
910,0,P,Silantro Fil-Mex,"Filipino, Mexican","75 East Capitol Drive, Kapitolyo, Pasig City",Pasig City,Excellent
911,0,P,Silantro Fil-Mex,"Filipino, Mexican","Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",Quezon City,Excellent
912,0,P,Locavore,Filipino,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Pasig City,Excellent
913,0,P,Balay Dako,Filipino,"Aguinaldo Highway, Tagaytay City",Tagaytay City,Excellent
914,0,P,Buffet 101,"Asian, European","Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City",Pasay City,Very Good
915,0,P,Sodam Korean Restaurant,Korean,"17 J. Abad Santos Drive, Little Baguio, San Juan City",San Juan City,Very Good
916,0,P,Vikings,"Seafood, Filipino, Asian, European","Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City",Pasay City,Very Good
917,0,P,Le Petit Souffle,"French, Japanese, Desserts","Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City",Makati City,Excellent
918,0,P,Wildflour Cafe + Bakery,"Cafe, Bakery, American, Italian","Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Taguig City,Very Good
919,0,P,Hobing Korean Dessert Cafe,"Cafe, Korean, Desserts","Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City",Taguig City,Excellent
920,0,P,Guevarra's,Filipino,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",San Juan City,Very Good
921,0,R,Jarryds,"Cafe, Burger","90 Regent Road, Sea Point, Cape Town",Cape Town,Excellent
922,0,R,tashas,"Cafe, Mediterranean","Ground Level, Victoria Wharf, V & A Waterfront, Cape Town",Cape Town,Very Good
923,0,R,Coco Safar,"Cafe, Patisserie","Ground Floor, Cavendish Square, Claremont, Cape Town",Cape Town,Very Good
924,0,R,Beluga,"Seafood, Asian, Grill, Sushi","The Foundry, Prestwich Street, Green Point, Cape Town",Cape Town,Good
925,0,R,Willoughby & Co.,"Seafood, Japanese, Sushi","Ground Level, Victoria Wharf, V & A Waterfront, Cape Town",Cape Town,Very Good
926,0,R,Truth Coffee,Cafe,"36 Buitenkant Street, CBD, Cape Town",Cape Town,Very Good
927,0,R,Gibson's Gourmet Burgers & Ribs,"Burger, American, Grill","Shop 157, Lower Level, Victoria Wharf, V & A Waterfront, Cape Town",Cape Town,Very Good
928,0,R,My Sugar,"Cafe, Patisserie, Bakery, Desserts","77 Regent Road, Sea Point, Cape Town",Cape Town,Very Good
929,0,R,Kloof Street House,Mediterranean,"30 Kloof Street, Gardens, Cape Town",Cape Town,Excellent
930,0,R,Rocomamas,"Burger, Fast Food, Grill","107a Main Road, Green Point, Cape Town",Cape Town,Good
931,0,R,The Creamery,"Desserts, Ice Cream","Newlands Quarter, Dean Street, Newlands, Cape Town",Cape Town,Excellent
932,0,R,Salushi,"Japanese, Sushi, Asian","25 Protea Road, Claremont, Cape Town",Cape Town,Good
933,0,R,Jerry's Burger Bar,"Burger, American","5 Park Road, Kloof Street, Gardens, Cape Town",Cape Town,Very Good
934,0,R,Active Sushi,Sushi,"32 Hudson Street, Mirage Building, Green Point, Cape Town",Cape Town,Good
935,0,R,La Parada,"Spanish, Tapas","107 Bree Street, CBD, Cape Town",Cape Town,Good
936,0,R,The Butcher's Wife,"Pizza, Grill","15 Belgravia Road, Athlone, Cape Town",Cape Town,Good
937,0,R,Nobu - One&Only,"Japanese, Asian, Seafood, Sushi","One & Only Hotel, Dock Road, V & A Waterfront, Cape Town",Cape Town,Very Good
938,0,R,Grand Café & Beach,"Seafood, African, Sushi","Granger Bay Road, Granger Bay, V & A Waterfront, Cape Town",Cape Town,Good
939,0,R,Origin Coffee Roasting,"Cafe, Bakery, Tea, Vegetarian","28 Hudson Street, De Waterkant, Cape Town",Cape Town,Very Good
940,0,R,Jason Bakery,"Cafe, Bakery","185 Bree Street, CBD, Cape Town",Cape Town,Very Good
941,0,R,Jamie's Italian,Italian,"Shop 00513, Building 13, High Street, Melrose Arch, Sandton",Sandton,Very Good
942,0,R,Gemelli Cucina Bar,"Contemporary, Italian","13 Posthouse Link Centre, Corner Main & Posthouse Street, Bryanston, Johannesburg Sandton, Bryanston, Sandton",Sandton,Excellent
943,0,R,Craft,"European, Pizza","33, 4th Avenue corner of 13th street, Parkhurst, Johannesburg",Johannesburg,Very Good
944,0,R,Momo Baohaus,"Asian, Sushi, Tapas","139 Greenway, Greenside, Johannesburg",Johannesburg,Very Good
945,0,R,The Big Mouth,"Grill, Steak, Burger, Sushi, Tapas","Nelson Mandela Square, Corner Maude & 5th Streets, Sandown, Sandton",Sandton,Very Good
946,0,R,The Wolfpack,"American, Burger","21, 4th Avenue, Parkhurst, Johannesburg",Johannesburg,Very Good
947,0,R,Marble,"Continental, South African, Beverages, Desserts, Seafood, Grill, Ice Cream, International","Corner Jan Smuts Avenue & Jellicoe Avenue, Rosebank, Johannesburg",Johannesburg,Excellent
948,0,R,Urbanologi,Tapas,"1 Fox Street, Marshalltown, Inner City, Johannesburg",Inner City,Excellent
949,0,R,Licorish Bistro,"European, South African","Nicolway Shopping Centre, William Nicol Drive, Bryanston, Sandton",Sandton,Excellent
950,0,R,Hudsons,"Burger, Finger Food, Pizza","Corner 4th Avenue & 14th Street, Parkhurst, Johannesburg",Johannesburg,Very Good
951,0,R,Cafe Del Sol Botanico,"Italian, Pizza, Beverages, Desserts, Grill, Seafood","Bryanston Shopping Centre, Corner of William Nicol & Ballyclare Dr, Bryanston, Sandton, Bryanston, Johannesburg",Sandton,Very Good
952,0,R,Social on Main,"Contemporary, Burger, European","Shop 1, Posthouse Centre, Corner Main Road & Posthouse Street, Bryanston, Sandton 2021",Sandton,Very Good
953,0,R,Perron,Mexican,"Illovo Junction, Corner Oxford Road and Corlett Drive, Illovo, Sandton",Sandton,Very Good
954,0,R,Salsa Mexican Grill,Mexican,"Pineslopes Shopping Centre, Corner of Witkoppen Drive & The Straight, Fourways, Sandton",Sandton,Very Good
955,0,R,The Smokehouse and Grill,Steak,"Pineslopes Shopping Centre, Corner of Witkoppen Drive & The Straight, Fourways, Sandton",Sandton,Very Good
956,0,R,The National,American,"19, 4th Avenue, Parktown North, Johannesburg",Johannesburg,Very Good
957,0,R,Escondido Tapas,Mediterranean,"Post Office Centre, Corner of Rudd Road and Otto Street, Illovo, Sandton",Sandton,Very Good
958,0,R,Cube - Tasting Kitchen,"European, Contemporary","24 Albrecht Road, Maboneng Precinct, City and Suburban, Inner City",Inner City,Excellent
959,0,R,Remo's Maximilliano,"Italian, Pizza","Waterfall Corner Mall, Corner of Maxwell & Woodmead Drives, Woodmead, Sandton",Sandton,Good
960,0,R,The Whippet,Cafe,"Corner of 7th Street and 4th Avenue, Linden, Randburg 2195",Randburg,Very Good
961,0,R$,Coco Bambu,International,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasília",Brasília,Excellent
962,0,R$,Coco Bambu,International,"Brasília Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasília",Brasília,Very Good
963,0,R$,Taypá,"Peruvian, Latin American","Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasília",Brasília,Good
964,0,R$,New Koto,Japanese,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasília",Brasília,Good
965,0,R$,Brazilian American Burgers,"American, Burger","CLSN 301, Bloco C, Loja 86, Sudoeste, Brasília",Brasília,Good
966,0,R$,Taco Pep,"Mexican, Grill","Vila Malls, Avenida das Castanheiras, Lote 1060, Ãguas Claras, Brasília",Brasília,Very Good
967,0,R$,Beirute,Arabian,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasília",Brasília,Good
968,0,R$,Pizza à Bessa,Pizza,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasília",Brasília,Average
969,0,R$,Sandubas Café,"Brazilian, Cafe","Edifício José Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Brasília",Brasília,Not rated
970,0,R$,Villa Tevere,Italian,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasília",Brasília,Very Good
971,0,R$,Chez Michou,"Fast Food, French","SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasília",Brasília,Average
972,0,R$,Rovereto,Pizza,"Rua 13 Norte, Lote 4, Águas Claras, Brasília",Brasília,Average
973,0,R$,Buena Carne,"Bar Food, Brazilian","Avenida Araucárias, 1325, Loja 19, Águas Claras, Brasília",Brasília,Good
974,0,R$,Manzuá,Seafood,"Pontão Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasília",Brasília,Average
975,0,R$,Sushi Loko,Japanese,"SCS 213, Bloco C, Loja 35, Asa Sul, Brasília",Brasília,Average
976,0,R$,Casa do Biscoito Mineiro,Bakery,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasília",Brasília,Good
977,0,R$,Outback Steakhouse,"American, Grill","ParkShopping - Piso 2, SAI/SO, Área 6580, Guará I, Brasília",Brasília,Very Good
978,0,R$,Maori,Brazilian,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasília",Brasília,Good
979,0,R$,Gero,Italian,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasília",Brasília,Average
980,0,R$,Café Daniel Briand,Cafe,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasília",Brasília,Good
981,0,R$,Templo da Carne - Marcos Bassi,"Steak, BBQ","Rua Treze de Maio, 668, Bela Vista, São Paulo 01327000",São Paulo,Very Good
982,0,R$,Cantina Famiglia Mancini,"Italian, Pizza","Rua Avanhandava, 81, Bela Vista, São Paulo 10000",São Paulo,Excellent
