,has_online_delivery,currency,name,cuisines,location.address,location.city,user_rating.rating_text
645,0,Rs.,Le Cafe,Cafe,"Beach Road, Near Gandhi Statue, White Town, Puducherry",Puducherry,Average
646,0,Rs.,Cafe des Arts,Cafe,"10, Suffren Street, White Town, Pondicherry",Puducherry,Good
647,0,Rs.,The Indian Kaffe Express,Cafe,"3, Rue Dumas Street, Near IG Office, White Town, Puducherry",Puducherry,Good
648,0,Rs.,Le Club,"French, Continental, North Indian","Hotel De Pondicherry, 38, Dumas Street, White Town, Puducherry",Puducherry,Good
649,0,Rs.,#Dilliwaala6,North Indian,"6, Rue De La Marine, White Town, Puducherry",Puducherry,Good
650,0,Rs.,Bay of Buddha -  The Promenade,"Chinese, Thai, Malaysian, Vietnamese, Korean, Indonesian, Asian","The Promenade, 23, Goubert Avenue, White Town, Puducherry",Puducherry,Good
651,0,Rs.,Blueline - The Promenade,"North Indian, Seafood, South Indian, Italian","The Promenade, 23, Goubert Avenue, White Town, Puducherry",Puducherry,Good
652,0,Rs.,The Pasta Bar Veneto,Italian,"248, Mission Street, MG Road, Puducherry",Puducherry,Good
653,0,Rs.,Tanto Pizzeria,"Pizza, Italian","Main Road, Near Iyyanar Koil Kullapalyam, Auroville, Puducherry",Puducherry,Good
654,0,Rs.,Rendezvous Cafe Restaurant,"Goan, Mangalorean, Continental, French","30, Rue Suffren, White Town, Puducherry",Puducherry,Good
655,0,Rs.,Gelateria Montecatini Terme,Desserts,"Goubert Avenue, Next To Alliance Francaise, White Town, Puducherry",Puducherry,Very Good
656,0,Rs.,Spice Route,"Continental, North Indian, Finger Food","6, Rue Bussy Street, Romain Rolland Street Cutting, White Town, Puducherry",Puducherry,Average
657,0,Rs.,The Smoothie Bar,"Desserts, Beverages, Juices","26, Sri Aurobindo Street, Mission Street Crossing, Heritage Town, Puducherry",Puducherry,Good
658,0,Rs.,Italize,"Pizza, Italian","137, 1st Floor, Mission Street (kosakadai street cutting), MG Road, Puducherry",Puducherry,Good
659,0,Rs.,Cafe Ole,"Cafe, Continental","319, Mission Street, MG Road, Puducherry",Puducherry,Good
660,0,Rs.,Auroville Bakery,Bakery,"Kuilapalayam, Auroville, Puducherry",Puducherry,Good
661,0,Rs.,Level 5 - Terrace Restro & Cafe,"Chinese, North Indian, Italian, Mexican","5th floor, Royal Trade Centre, Opposite Star Bazaar, Adajan, Adajan Gam, Surat",Surat,Good
662,0,Rs.,Thalaivaa,South Indian,"G-1, Aqua Corridor, Near Star Bazaar, Pal Road, Adajan Gam, Surat",Surat,Very Good
663,0,Rs.,Global Local,Modern Indian,"Western Vesu Point, Near Reliance Market, Vesu, Surat",Surat,Average
664,0,Rs.,Falafel Lovers,"Lebanese, Italian","LG-5/6/19, Megh Mayur Plaza, Parle Point, Surat, City Light, Surat",Surat,Very Good
665,0,Rs.,Wok On Fire,"Chinese, Thai, Asian","G 6, Riddhi Shoppers, Opposite Star Bazaar, Pal Adajan Road, Adajan, Surat, Adajan Gam, Surat",Surat,Good
666,0,Rs.,Leonardo Italian Mediterranean Dining,"Italian, Mexican, Mediterranean","Ground Floor, International Business Centre, Surat-Dumas Road, Piplod, Surat",Surat,Very Good
667,0,Rs.,Coffee Culture - The Ristorante Lounge,"Cafe, Continental","Opposite Sargam Shopping Centre, Near Parle Point, City Light, Surat",Surat,Very Good
668,0,Rs.,Black Pepper,"North Indian, Italian","8/9, International Business Center, Dumas Road, Piplod, Surat",Surat,Very Good
669,0,Rs.,The Food Lab,"Italian, Lebanese, Mexican","G-1 Western Vesu Point, Vesu, Surat",Surat,Good
670,0,Rs.,Wok On Fire,"Chinese, Thai, Asian","G 2, Golden Square, Near Sargam Shopping Center, Parle Point, Surat, Piplod, Surat",Surat,Good
671,0,Rs.,The Hog Spot,"North Indian, Italian, Mexican, Asian","G-5, Trinity Cygnuss, Udhna Magdalla Road, Vesu, Surat",Surat,Good
672,0,Rs.,The Creamery,"Ice Cream, Desserts","G 31, Someshwar Square, Opposite Aagam Bungalow, Vesu, Surat",Surat,Good
673,0,Rs.,The Centre Court,"Italian, North Indian, Desserts, Continental","Near Ambica Niketan Bus Stand, Parle Point, City Light, Surat",Surat,Very Good
674,0,Rs.,World Platter,"North Indian, Chinese, Thai, Mexican, Italian","Second Floor, Rajmal Lakhichand Jewellers Building, Ghod Dod Road, Athwa, Surat",Surat,Good
675,0,Rs.,Golden Dragon,Chinese,"10-15, Second Floor, Rangila Park, Ghod Dod Road, Athwa, Surat",Surat,Very Good
676,0,Rs.,Mysore Cafe,South Indian,"Daruwala Building, Athwalines, Athwa, Surat",Surat,Very Good
677,0,Rs.,The Sizzling Salsa,"Italian, Continental, Chinese, Mexican","Opposite Iscon Mall, Surat Dumas Road, Piplod, Surat",Surat,Very Good
678,0,Rs.,Pizza Hut,Pizza,"Akash Ganga, Opposite Croma, Dumas Road, Piplod, Surat",Surat,Very Good
679,0,Rs.,The Haus,"Cafe, Desserts","3, Radhe Nagar Society, Opposite Sargam Shopping Centre, Piplod, Surat",Surat,Good
680,0,Rs.,Kansar Gujarati Thali,Gujarati,"A Wing, President Plaza, Near RTO, Nanpura, Surat",Surat,Good
681,0,Rs.,Baati Chokha,North Indian,"Anand Mandir Cinema, Telibagh, Dashaswmedh Road, Varanasi",Varanasi,Good
682,0,Rs.,VNS Live Studio,"Chinese, North Indian","Hotel Varuna Ground Floor, 22 Gulab Bagh, Sigra, Varanasi",Varanasi,Good
683,0,Rs.,Ming Garden,Chinese,"34-B, Ravindra Puri, Near Lanka,Varanasi",Varanasi,Good
684,0,Rs.,Deena Chat Bhandar,Street Food,"D-47/184, Luxa Road, Dashaswmedh Road, Varanasi",Varanasi,Good
685,0,Rs.,Pizzeria Vaatika Cafe,"Pizza, Chinese","B-1/178, Assi Ghat, Varanasi",Varanasi,Good
686,0,Rs.,Kerala Cafe,South Indian,"Bhelupur Crossing, Bhelupur, Varanasi",Varanasi,Good
687,0,Rs.,Kashi Chat Bhandar,Street Food,"D-37/49, Godaulia, Varanasi",Varanasi,Very Good
688,0,Rs.,Open Hand Shop & Cafe,Cafe,"B1/128-3, Dumraun Bagh Colony, Assi Ghat, Varanasi",Varanasi,Average
689,0,Rs.,3Cherryz Sky Lounge & Cafe,"Cafe, North Indian, Chinese","5th Floor Roof Top,(Above Big Bazaar) Sigra. Opp. IP Mall Sigra., Sigra, Varanasi",Varanasi,Average
690,0,Rs.,I:ba Cafe & Restaurant,"Japanese, American, North Indian, Fast Food","B 3/335, Krimkund, Shivala, Varanasi",Varanasi,Good
691,0,Rs.,Tandoor Villa,"North Indian, Mughlai","Near Sbi Atm, Main Road, Nadesar, Varanasi",Varanasi,Good
692,0,Rs.,Blue Lassi,Beverages,"CK 12/1, Kachauri Gali Chowk, Near Rajbandhu Sweet, Bhelupur, Varanasi",Varanasi,Good
693,0,Rs.,Chrystal Bowl Restaurant,North Indian,"34-B, Ravindra Puri, Near Lanka, Varanasi",Varanasi,Average
694,0,Rs.,Flavours Cafe,"North Indian, Cafe","1st Floor, Swastik Plaza, Near Ravidas Gate, BHU Road, Lanka, Varanasi",Varanasi,Average
695,0,Rs.,Singh's Delight Restaurant,"Chinese, North Indian","1st Floor, Nath Complex, Beside Life Line Hospital, Sunderpur, Varanasi",Varanasi,Good
696,0,Rs.,Burger King,"North Indian, Fast Food","S 19/1 K, Mint House, Near Hotel Taj, Nai Bazar Cantt, Nadesar, Varanasi",Varanasi,Average
697,0,Rs.,eastWEST - Radisson Hotel,"Cafe, North Indian, Continental","Radisson Hotel, The Mall Road, Nadesar, Varanasi",Varanasi,Average
698,0,Rs.,Aman Restaurant,"Chinese, North Indian","Boradway Hotel, Near IP Vijaya Mall, Bhelupur, Varanasi",Varanasi,Average
699,0,Rs.,Dosa Cafe,South Indian,"D 15/49, Maan Mandir, Dashaswmedh Road, Varanasi",Varanasi,Good
700,0,Rs.,The Great Kabab Factory - Radisson Hotel,"North Indian, Mughlai","Radisson Hotel, The Mall Road, Nadesar, Varanasi",Varanasi,Average
701,0,Rs.,Swaaddesh,"North Indian, Chinese","2nd floor, chandra complex, above manyavar, boring road, Sri Krishnapuri, Patna",Patna,Good
702,0,Rs.,Genuine Broaster Chicken,"American, Chinese, North Indian, Italian","West Boring Canal Road, Opposite Zee Saheb Super Market, Anandpuri, Patna",Patna,Good
703,0,Rs.,The Yellow Chilli,"North Indian, Chinese, Continental","1st Floor, Hira Place, Dak Bunglow Road, Chajju Bagh, Fraser Road Area, Patna",Patna,Good
704,0,Rs.,Biryani Mahal,"Biryani, Mughlai","Near Buddha Marg, Kotwali Chauraha, Golambar, Patna",Patna,Good
705,0,Rs.,Pind Balluchi,"North Indian, Chinese","16th-18th Floor, Biscomaun Tower, Gandhi Maidan, Lodipur, Patna",Patna,Average
706,0,Rs.,Mainland China,Chinese,"5th Floor, Central Mall, Fraser Road Area, Patna",Patna,Good
707,0,Rs.,17 Degrees,"North Indian, Chinese, Continental, Italian","6th Floor, P&M Mall, Patliputra Colony, Patna",Patna,Good
708,0,Rs.,Red Chilli,"Chinese, North Indian, Mughlai","Opposite Allahabad Bank, Ramnagri Mor, Ashiana Digha Road, Khajpura, Patna",Patna,Good
709,0,Rs.,Pukhtaan-The Royal Taste of India,"North Indian, Chinese","5th Floor, Nutan Plaza, Bander Bagicha, Fraser Road Area, Patna",Patna,Good
710,0,Rs.,Bansi Vihar,"South Indian, Fast Food","New Market Beside Buddha Park, Fraser Road Area, Patna",Patna,Average
711,0,Rs.,Indian Summer Cafe,"Continental, Cafe, Italian, Pizza, North Indian, Chinese, Bakery, Mughlai","Satya Narain Building, Exhibition Road, Golambar, Patna",Patna,Average
712,0,Rs.,Kapil Dev's Eleven,"North Indian, Chinese, Finger Food","Lower Ground Floor, Dumraow Kothi, Frazer Road, Lodipur, Patna",Patna,Good
713,0,Rs.,Roti Restaurant,"North Indian, South Indian, Chinese","Opposite A.N College, Boring Road, Sri Krishnapuri, Patna",Patna,Average
